vjdbv0.3_field_id,vjdbv0.3_name,vjdbv0.3_description,vjdbv0.3_fields_type,vjdbv0.3_privacy,vjdbv0.2__field_id,vjdbv0.1_field_id,ena_field_id,rki_field_id,migs-vi_field_id,migs-uvig_field_id,env-o_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,ena_submission_object_object_name,vjbd_submission_object_object_name,vjdbv0.3_group1,vjdbv0.3_group2,vjdbv0.3_group3,vjdbv0.3_tags,vjdbv0.3_input_source,vjdbv0.3_notes,vjdbv0.3_changes,vjdbv0.2_previous_changes,ncbi_virus_n_field_name,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,ena_submission_requiredness,vjdb_submission_requiredness,vjdb_example,vjdb_validation_rules,ena_submission_fieldtype,ena_submission_validation,vjdbv0.3_field_index
collector_name,Collector Name,Name of the person that collected the sample,keyword,internal,collector_name,N/A,collector name,N/A,N/A,N/A,N/A,N/A,N/A,collector name,collector name,ENA Sample,VJDB Sample,Sample,Collection,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Name of the person who collected the specimen. example: john smith,N/A,N/A,(Mandatory) Name of the person who collected the specimen. example: john smith,N/A,TEXT_AREA_FIELD,mandatory,mandatory,N/A,N/A,text,freetext,0bk
cutoff_for_seropositive_sample,Cutoff for Seropositive Sample,CORONA: The cuttoff used to determine if the sample is seropositive,float,internal,cutoff_for_seropositive_sample,N/A,definition for seropositive sample,N/A,N/A,N/A,N/A,N/A,N/A,definition for seropositive sample,definition for seropositive sample,ENA Sample,VJDB Sample,Sample,Clinical,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) The cut off value used by an investigatior in determining that a sample was seropositive.,N/A,N/A,(Recommended) The cut off value used by an investigatior in determining that a sample was seropositive.,N/A,TEXT_FIELD,recommended,recommended,N/A,N/A,text,freetext,0bl
experiment_accession_id,Experiment Accession,References a ENA assembly to an ENA Experiment (could be redundant with Run),keyword,internal,experiment_accession_id,N/A,experiment accession?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['ENA', 'Organizational', 'Identifiers']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,unique,0bm
host_behaviour,Host Behaviour,Natural behaviour of the host,keyword,internal,host_behaviour,N/A,host behaviour,N/A,N/A,N/A,N/A,N/A,N/A,host behaviour,host behaviour,ENA Sample,VJDB Sample,Sample,Clinical,Host,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical', 'Host']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Natural behaviour of the host.,N/A,N/A,(Recommended) Natural behaviour of the host.,N/A,TEXT_CHOICE_FIELD,recommended,recommended,N/A,N/A,combo,controlled_vocabulary,0bn
host_disease,Host Disease,Main host disease diagnosis,keyword,internal,host_disease,disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Clinical,Host,"['Sample', 'Clinical', 'Host']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0bo
host_disease_outcome,Host Disease Outcome,Disease outcome in the host,keyword,internal,host_disease_outcome,N/A,host disease outcome,N/A,N/A,N/A,N/A,N/A,N/A,host disease outcome,host disease outcome,ENA Sample,VJDB Sample,Sample,Clinical,Host,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical', 'Host']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Disease outcome in the host.,N/A,N/A,(Recommended) Disease outcome in the host.,N/A,TEXT_CHOICE_FIELD,recommended,recommended,N/A,N/A,combo,controlled_vocabulary,0bp
host_disease_symptoms,Host Disease Symptoms,"The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. If multiple exposures are applicable, please state them separated by semicolon.",keyword,internal,host_disease_symptoms,N/A,illness symptoms,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Clinical,Host,"['ENA', 'Sample', 'Clinical', 'Host']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,N/A,suggestion,unique,0bq
host_group,Host Group,Taxonomic group of the host,keyword,public,host_group,host_group,N/A,N/A,N/A,N/A,N/A,N/A,Host Group,N/A,N/A,N/A,N/A,Sample,Host,N/A,"['BV-BRC', 'Sample', 'Host']",BVBRC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host Info,N/A,host_group,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,suggestion,freetext,0br
host_habitat,Host Habitat,Natural habitat of the avian or mammalian host,keyword,internal,host_habitat,N/A,host habitat,N/A,N/A,N/A,N/A,N/A,N/A,host habitat,host habitat,ENA Sample,VJDB Sample,Sample,Host,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Host']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Natural habitat of the avian or mammalian host.,N/A,N/A,(Recommended) Natural habitat of the avian or mammalian host.,N/A,TEXT_CHOICE_FIELD,recommended,recommended,N/A,N/A,combo,controlled_vocabulary,0bs
host_lab_common_name,Lab Host Common Name,BVBRC Lab Host; common name of the lab host,keyword,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lab Host,N/A,N/A,N/A,N/A,Sample,Host,N/A,"['BV-BRC', 'Sample', 'Host']",BVBRC,"remove? Lab Passage 1 to 1 in public and rest in private for submission, because Lab Passaged is buil on ""/labhost"", to catch this we provide these fields",host_lab_common_name,N/A,N/A,N/A,N/A,N/A,Host Info,N/A,lab_host,string_ci,N/A,new,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,suggestion,freetext,0bt
host_lab_ncbi_tax_id,Lab Host NCBI Tax ID,NCBI Tax ID of the lab host,keyword,private,host_lab_NCBI_tax_id,N/A,N/A,N/A,specific_host,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Host,N/A,"['MIGS-VI', 'Sample', 'Host']",N/A,remove?,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,unique,0bu
host_lab_scientific_name,Lab Host Species,Species of the lab host. Scientific name of the host,keyword,private,host_lab_scientific_name,N/A,lab_host,N/A,specific_host,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Host,N/A,"['ENA', 'MIGS-VI', 'Sample', 'Host']",N/A,remove?,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,N/A,suggestion,unique,0bv
host_natural_scientific_name,Host Species,Species of the natural host. Scientific name of the host,keyword,public,host_natural_scientific_name,host_name?,host scientific name,N/A,specific_host,N/A,N/A,N/A,Host Name,host scientific name,host scientific name,ENA Sample,VJDB Sample,Sample,Host,N/A,"['ENA', 'MIGS-VI', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Host']",BVBRC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host Info,N/A,host_name,string_ci,N/A,they are not all scientific names,(Mandatory) Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.,N/A,N/A,(Mandatory) Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.,N/A,TEXT_FIELD,mandatory,mandatory,N/A,N/A,suggestion,unique,0bw
host_ncbi_tax_id,Host NCBI Tax ID,NCBI Tax ID of the natural host,keyword,internal,host_NCBI_tax_id,host_NCBI_tax_id,N/A,N/A,specific_host,N/A,N/A,N/A,N/A,N/A,lab_host,ENA Sample,VJDB Sample,Sample,Host,NCBI Taxonomy,"['MIGS-VI', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Host', 'NCBI Taxonomy']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Scientific name of the laboratory host used to propagate the source organism from which the sample was obtained,N/A,TEXT_FIELD,N/A,N/A,N/A,N/A,text,unique,0bx
host_sex,Host Sex,Sex of the host,keyword,public,host_sex,host_gender,host sex,N/A,N/A,N/A,N/A,N/A,Host Gender,host sex,host sex,ENA Sample,VJDB Sample,Sample,Clinical,Host,"['ENA', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical', 'Host']",BVBRC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host Info,N/A,host_gender,string_ci,N/A,N/A,(Mandatory) Gender or sex of the host.,N/A,N/A,(Mandatory) Gender or sex of the host.,N/A,TEXT_CHOICE_FIELD,mandatory,mandatory,N/A,N/A,combo,controlled_vocabulary,0by
host_subject_id,Host Subject ID,Unique ID by which singular subjects can be referred to,keyword,internal,host_subject_id,N/A,host subject id,N/A,N/A,N/A,N/A,N/A,N/A,host subject id,host subject id,ENA Sample,VJDB Sample,Sample,Clinical ,Host,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ', 'Host']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) A unique identifier by which each subject can be referred to, de-identified, e.g. #131",N/A,N/A,"(Mandatory) A unique identifier by which each subject can be referred to, de-identified, e.g. #131",N/A,TEXT_FIELD,mandatory,mandatory,N/A,N/A,suggestion,freetext,0bz
influenza_test_method,Influenza Test Method,INFLUENZA: Method used to assess if a sample if flu positive/negative. When multiple once were used they are seperated by semicolon,keyword,internal,influenza_test_method,N/A,influenza test method,N/A,N/A,N/A,N/A,N/A,N/A,influenza test method,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,Host,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ', 'Host']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Method by which the current assessment of a sample as flu positive/negative is made. if multiple test were performed, please state them separated by semicolon. example: rt-pcr; antigen elisa",N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,N/A,N/A,suggestion,unique,0ca
influenza_test_result,Influenza Test Result,"INFLUENZA: Result of the given methods. Positive(P) or Negative(N). For multiple test the results are delimited by semicolon, e.g. P; P",keyword,internal,influenza_test_result,N/A,influenza test result,N/A,N/A,N/A,N/A,N/A,N/A,influenza test result,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,Host,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ', 'Host']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Classification of a sample as flu positive or negative based on the test performed and reported. if multiple tests were performed, please state the results in the same order in which you reported the tests in the field 'influenza test method'. format: p(ositive)/n(egative). example: p; p",N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,N/A,N/A,suggestion,unique,0cb
influenza_virus_type,Influenza Virus Type,INFLUENZA: Influenza virus classification,keyword,internal,influenza_virus_type,variant,influenza virus type,N/A,N/A,N/A,N/A,N/A,N/A,influenza virus type,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,Host,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ', 'Host']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) One of the three influenza virus classification types.,N/A,N/A,N/A,N/A,N/A,recommended,recommended,N/A,N/A,combo,controlled_vocabulary,0cc
is_bvbrc,BVBRC Sequence,"Boolean flag -- if record is in the BVRC then ""yes""",boolean,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Sequence,N/A,"['Organizational', 'Sequence']",calculated by VJDB,N/A,add is_bvbrc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0cd
other_pathogens_test_result,Other Pathogens Test Result,INFLUENZA: The test result for other tested pathogens given as described by influenza test result,keyword,internal,other_pathogens_test_result,N/A,other pathogens test result,N/A,N/A,N/A,N/A,N/A,N/A,other pathogens test result,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,Host,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ', 'Host']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Classification of a sample as positive or negative based on the test performed and reported. if tests for multiple pathogenic organisms were performed, please state the results in the same order in which you reported the tests in the field 'other pathogens tested'. format: p(ositive)/n(egative)/not applicable. example: n",N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,N/A,N/A,suggestion,unique,0ce
other_pathogens_tested,Other Pathogens Tested,"INFLUENZA: Was the sample tested for other pathogens? Insert the pathogenic organisms using semicolon as a delimiter, e.g. Newcastle. “None” is also valid",keyword,internal,other_pathogens_tested,N/A,other pathogens tested,N/A,N/A,N/A,N/A,N/A,N/A,other pathogens tested,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,Host,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ', 'Host']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Classification of pathogenic organisms other than influenza virus tested in the current assessment of a sample. if multiple tests were performed, please state them separated by semicolon. if no other pathogens test was performed, please state 'none'. example: newcastle",N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,N/A,N/A,suggestion,unique,0cf
pangolin_lineage,Pangolin Lineage,Lineage determined by Pangolin,keyword,public,pangolin_lineage,N/A,N/A,PANGOLIN. LINEAGE_LATEST,N/A,N/A,N/A,N/A,Lineage,N/A,N/A,N/A,N/A,Analysis,Sequence,N/A,"['RKI', 'BV-BRC', 'Analysis', 'Sequence']",BVBRC,N/A,N/A,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,Type Info,N/A,lineage,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,suggestion,freetext,0cg
pangolin_version,Pangolin Version,Pangolin version used to determine the lineage,float,internal,pangolin_version,N/A,N/A,PANGOLIN. PANGOLIN_VERSION _LATEST,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analysis,Sequence,N/A,"['RKI', 'Analysis', 'Sequence']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,suggestion,freetext,0ch
receipt_date,Receipt Date,If the sample was only received and not collected provide the receipt date,date,internal,receipt_date,N/A,receipt date,N/A,N/A,N/A,N/A,N/A,N/A,receipt date,receipt date,ENA Sample,VJDB Sample,Sample,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Recommended) Date on which the sample was received. format:yyyy-mm-dd. please provide the highest precision possible. if the sample was received by the institution and not collected, the 'receipt date' must be provided instead. either the 'collection date' or 'receipt date' must be provided. if available, provide both dates.",N/A,N/A,"(Recommended) Date on which the sample was received. format:yyyy-mm-dd. please provide the highest precision possible. if the sample was received by the institution and not collected, the 'receipt date' must be provided instead. either the 'collection date' or 'receipt date' must be provided. if available, provide both dates.",N/A,TEXT_FIELD,recommended,recommended,N/A,N/A,date,freetext,0ci
rki_sequence_id,RKI Accession,RKI ID to link sequence and metadata,keyword,internal,rki_sequence_id,N/A,N/A,SEQUENCE.ID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['RKI', 'Organizational', 'Identifiers']",N/A,N/A,remove,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0cj
run_accession_id,Run Accession,References a ENA assembly to an ENA Run,keyword,internal,run_accession_id,N/A,run ref,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['ENA', 'Organizational', 'Identifiers']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,recommended,recommended,N/A,N/A,text,unique,0ck
sample_ncbi_tax_id,NCBI SpeciesTax ID,NCBI Tax ID of the sample species,keyword,public,sample_NCBI_tax_id,NCBI_txid,tax_id,N/A,samp_taxon_id,N/A,N/A,N/A,NCBI Taxon ID,taxon_id,taxon_id,ENA Sample,VJDB Sample,Sample,Virus ,NCBI Taxonomy,"['ENA', 'MIGS-VI', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Virus ', 'NCBI Taxonomy']",BVBRC,Taxonomy Descision,N/A,N/A,N/A,N/A,N/A,N/A,Taxonomy Info,Taxonomy,taxon_id,int,N/A,N/A,(Mandatory) Ncbi taxonomy identifier. this is appropriate for individual organisms and some environmental samples.,N/A,N/A,(Mandatory) Ncbi taxonomy identifier. this is appropriate for individual organisms and some environmental samples.,N/A,TEXT_FIELD,mandatory,mandatory,N/A,N/A,suggestion,unique,0cl
sample_serotype,Serotype,"Serological variety of a species characterised by its antigenic properties, e.g. H1N1",keyword,internal,sample_serotype,variant,serotype,N/A,subspecf_gen_lin; broad field,N/A,N/A,N/A,N/A,serotype (required for a seropositive sample),serotype (required for a seropositive sample),ENA Sample,VJDB Sample,Sample,Clinical,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical']",N/A,"NCBI Virus has genotype, which includes Serotype, otherwise we have no valid informational source -> internal for now",keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Recommended) Serological variety of a species characterised by its antigenic properties. for influenza, ha subtype should be the letter h followed by a number between 1-16 unless novel subtype is identified and the na subtype should be the letter n followed by a number between 1-9 unless novel subtype is identified. if only one of the subtypes have been tested then use the format h5nx or hxn1. example: h1n1",N/A,N/A,"(Recommended) Serological variety of a species characterised by its antigenic properties. for influenza, ha subtype should be the letter h followed by a number between 1-16 unless novel subtype is identified and the na subtype should be the letter n followed by a number between 1-9 unless novel subtype is identified. if only one of the subtypes have been tested then use the format h5nx or hxn1. example: h1n1",N/A,TEXT_FIELD,recommended,recommended,N/A,N/A,suggestion,freetext,0cm
sample_species_name_abbreviation,Abbreviation,Common abbreviations of the species name,keyword,N/A,sample_species_name_abbreviation,abbreviation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Virus,N/A,"['Sample', 'Virus']",NCBI Taxonomy,N/A,tbd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,suggestion,freetext,0cn
sample_species_tax_id,Sample Species Tax ID,NCBI Tax ID of the species,keyword,N/A,sample_species_tax_id,tree_rank_txid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Virus,NCBI Taxonomy,"['Sample', 'Virus', 'NCBI Taxonomy']",NCBI Taxonomy,"No mapping, seems to  be NCBI Tax ID",tbd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,suggestion,freetext,0co
sequence_average_depth_coverage,Average Depth,Average sequencing depth across the sequence,float,public,sequence_average_depth_coverage,N/A,sequence_coverage,N/A,N/A,N/A,N/A,N/A,Sequencing Depth,N/A,N/A,N/A,N/A,Analysis,Sequence,N/A,"['ENA', 'BV-BRC', 'Analysis', 'Sequence']",BVBRC,N/A,N/A,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,Sequence Info,N/A,sequencing_depth,string_ci,N/A,average,N/A,N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,N/A,N/A,text,unique,0cp
sequence_gc_content,GC Content,Percentage of GC in the sequence,float,public,sequence_gc_content,sequence_gc_content,N/A,N/A,N/A,N/A,N/A,N/A,GC Content,N/A,N/A,N/A,N/A,Analysis,Sequence,N/A,"['BV-BRC', 'Analysis', 'Sequence']",BVBRC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Genome Statistics,Genome Statistics,gc_content,float,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0cq
sequence_length_coverage,Length Coverage,Percentage of Ns within the whole sequence,float,N/A,sequence_length_coverage,N/A,N/A,N/A,compl_score; only half of the definition is used,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analysis,Sequence,N/A,"['MIGS-VI', 'Analysis', 'Sequence']",no source,N/A,remove; change the name and id: sequence_perc_N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0cr
sequence_name,Sequence Name,Generic name of the sequence (Name of the entry),keyword,internal,sequence_name,sample_name,N/A,N/A,assembly_name,N/A,N/A,N/A,Genome Name,N/A,N/A,N/A,N/A,Analysis,Sequence,N/A,"['MIGS-VI', 'BV-BRC', 'Analysis', 'Sequence']",BVBRC,N/A,change to BVBRC_genome_name,N/A,N/A,N/A,N/A,N/A,General Info,N/A,genome_name,string_ci,N/A,change name; keep private; compare to Organism Name from NCBI Virus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0cs
sequence_number_of_contigs,Number of Contigs,Number of contigs in the sequence,integer,N/A,sequence_number_of_contigs,number_of_contigs,N/A,N/A,number_contig,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analysis,Sequence,N/A,"['MIGS-VI', 'Analysis', 'Sequence']",no source,N/A,remove,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0ct
sequence_publication_doi,Publication DOI,Sequence publication doi,keyword,internal,sequence_publication_doi,publication_doi,N/A,N/A,associated_resource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,N/A,N/A,"['MIGS-VI', 'Organizational']",no source,needs curation before public,remove,"Not public in VJDB, but is already in database",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0cu
sequence_pubmed_id,Pubmed Accession,Sequence publication pubmed ID,keyword,internal,sequence_pubmed_id,pmid,N/A,N/A,associated_resource,N/A,N/A,N/A,Publication,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['MIGS-VI', 'BV-BRC', 'Organizational', 'Identifiers']",BVBRC,needs curation before public,N/A,N/A,N/A,N/A,N/A,N/A,DB Cross Reference,N/A,publication,string,N/A,multiple; to curate (compare with the number of pubs with ncbi virus),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0cv
sequence_update_date,Update Date,Last update date of the sequence in BVBRC (whole entry),date,public,sequence_update_date,update_date,N/A,N/A,N/A,N/A,N/A,N/A,Date Modified,N/A,N/A,N/A,N/A,Organizational,Sequence,N/A,"['BV-BRC', 'Organizational', 'Sequence']",BVBRC,N/A,update definition: last update date of the record in bvbrc),"Not public in VJDB, but is already in database",N/A,N/A,N/A,N/A,Additional Info,N/A,date_modified,pdate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,date,freetext,0cw
sequence_version,Sequence Version,Version of the sequence (whole entry),float,N/A,sequence_version,sample_version,N/A,SEQUENCE.VERSION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Sequence,N/A,"['RKI', 'Organizational', 'Sequence']",no source,N/A,remove,"Not public in VJDB, but is already in database",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0cx
sequencing_center,Sequencing Center,Institution that sequenced the sample,keyword,public,sequencing_center,sequencing_center,N/A,N/A,N/A,N/A,N/A,N/A,Sequencing Center,N/A,N/A,N/A,N/A,Organizational,Sequence,N/A,"['BV-BRC', 'Organizational', 'Sequence']",BVBRC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sequence Info,N/A,sequencing_centers,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0cy
